case,purge_fraction,purge_percent,tower_temperature_k,adsorption_pressure_kpa,desorption_pressure_kpa,tower_height_m,tower_diameter_m,single_tower_volume_m3,adsorption_end_time_s,desorption_end_time_s,cycle_time_s,actual_tower_count,total_tower_volume_m3,psa_construction_cost_jpy,activated_carbon_mass_t,activated_carbon_cost_jpy,ideal_tower_count,report_tower_count,report_total_tower_volume_m3,report_psa_construction_cost_jpy,report_activated_carbon_mass_t,report_activated_carbon_cost_jpy,report_total_capital_cost_jpy
tower_1_ads_5p0bar_des_0p1bar_40c_purge_001,0.01,1.0,298.15,480.0,10.0,1.1870224362569322,0.5935112181284661,0.328402665405735,71.92263903075653,184.79332829087485,256.7159673216314,4,1.31361066162294,4909069.917394238,0.65680533081147,656805.3308114699,4,4,1.31361066162294,4909069.917394238,0.65680533081147,656805.3308114699,5565875.248205707
tower_1_ads_5p0bar_des_0p1bar_40c_purge_002,0.02,2.0,298.15,480.0,10.0,1.1870224362569322,0.5935112181284661,0.328402665405735,71.91955277242225,92.41877243831271,164.33832521073498,3,0.9852079962172049,4299930.179031032,0.49260399810860245,492603.9981086024,3,3,0.9852079962172049,4299930.179031032,0.49260399810860245,492603.9981086024,4792534.177139634
tower_1_ads_5p0bar_des_0p1bar_40c_purge_003,0.03,3.0,298.15,480.0,10.0,1.1870224362569322,0.5935112181284661,0.328402665405735,71.91658521633161,61.62672625526478,133.54331147159638,2,0.65680533081147,3614594.218317465,0.328402665405735,328402.66540573497,2,3,0.9852079962172049,4299930.179031032,0.49260399810860245,492603.9981086024,4792534.177139634
tower_1_ads_5p0bar_des_0p1bar_40c_purge_004,0.04,4.0,298.15,480.0,10.0,1.1870224362569322,0.5935112181284661,0.328402665405735,71.9136770113628,46.23048677944253,118.14416379080532,2,0.65680533081147,3614594.218317465,0.328402665405735,328402.66540573497,2,3,0.9852079962172049,4299930.179031032,0.49260399810860245,492603.9981086024,4792534.177139634
tower_1_ads_5p0bar_des_0p1bar_40c_purge_005,0.05,5.0,298.15,480.0,10.0,1.1870224362569322,0.5935112181284661,0.328402665405735,71.91082815751577,36.99263428355919,108.90346244107496,2,0.65680533081147,3614594.218317465,0.328402665405735,328402.66540573497,2,3,0.9852079962172049,4299930.179031032,0.49260399810860245,492603.9981086024,4792534.177139634
