time_s,C_H2_out_kmol_per_m3,C_CH4_out_kmol_per_m3,y_CH4_out,u_out_m_per_s
2.187526693385033e-05,0.2118350353371884,0.3544160564390824,0.6258991136375844,0.15000000000000002
0.0021656514264511827,0.21183503533718956,0.35441605643906726,0.6258991136375731,0.15000000000000002
0.0043531781198362166,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.006540704813221249,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.00872823150660628,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.010915758199991316,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.013103284893376348,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.01529081158676138,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.017478338280146416,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.019665864973531445,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.02185339166691648,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.024040918360301512,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.026228445053686544,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.02841597174707158,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.030603498440456612,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.03279102513384165,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.03497855182722668,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.03716607852061171,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.039353605213996744,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.04154113190738178,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.04372865860076681,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.04591618529415184,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.04810371198753688,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.05029123868092191,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.05247876537430694,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.05466629206769197,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.056853818761077014,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.05904134545446204,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.06122887214784707,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.06341639884123211,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.06560392553461714,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.06779145222800217,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.06997897892138721,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.07216650561477223,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.07435403230815728,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.0765415590015423,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.07872908569492733,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.08091661238831237,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.0831041390816974,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.08529166577508245,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.08747919246846747,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.0896667191618525,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.09185424585523753,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.09404177254862256,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.09622929924200758,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.09841682593539264,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.10060435262877768,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.10279187932216269,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.10497940601554773,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.10716693270893277,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.10935445940231779,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.11154198609570282,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
0.11372951278908787,0.21183503533718956,0.35441605643906565,0.6258991136375721,0.15000000000000002
