adsorption_pressure_bar,desorption_pressure_at_90mol_percent_bar,method,lower_desorption_pressure_bar,lower_ch4_mol_percent,upper_desorption_pressure_bar,upper_ch4_mol_percent
4.8,0.1217414510021177,linear_interpolation,0.1,90.63942946991766,0.2,87.69836785514606
6.0,0.13819163966439796,linear_interpolation,0.1,90.95880465652478,0.2,88.44829538027977
8.0,0.15629960966222176,linear_interpolation,0.1,91.16037805497292,0.2,89.09930150056199
10.0,0.16513062656705732,linear_interpolation,0.1,91.15970041921504,0.2,89.37912424431669
12.0,0.16653117088696506,linear_interpolation,0.1,91.05633918793575,0.2,89.46860343362226
15.0,0.15744368079275323,linear_interpolation,0.1,90.79763852942627,0.2,89.40908104421914
