case,adsorption_pressure_bar,desorption_pressure_bar,feed_methane_mole_fraction_h2_ch4,feed_methane_mol_percent_h2_ch4,desorption_product_methane_mole_fraction,desorption_product_methane_mol_percent,methane_enrichment_factor,methane_desorption_recovery_percent,hydrogen_contamination_in_desorption_product_kmol,cycle_time_s
tower_1_ads_4p8bar_des_0p1bar_25c_purge_002,4.8,0.1,0.6319269356711686,63.19269356711686,0.9063942946991767,90.63942946991766,1.4343340084664957,99.99778535677191,0.024923883377425363,164.33832521073498
tower_1_ads_4p8bar_des_0p2bar_25c_purge_002,4.8,0.2,0.6319269356711686,63.19269356711686,0.8769836785514605,87.69836785514606,1.3877928428862072,99.99810066990656,0.033854304826807374,256.65869843500883
tower_1_ads_4p8bar_des_0p3bar_25c_purge_002,4.8,0.3,0.6319269356711686,63.19269356711686,0.8494421878956322,84.94421878956322,1.3442094962979239,99.99841618162864,0.04277756130214977,348.9080555690701
tower_1_ads_4p8bar_des_0p4bar_25c_purge_002,4.8,0.4,0.6319269356711686,63.19269356711686,0.8235977077634734,82.35977077634735,1.3033116034035352,99.99873043187331,0.051693670720252265,441.08741794680685
tower_1_ads_4p8bar_des_0p5bar_25c_purge_002,4.8,0.5,0.6319269356711686,63.19269356711686,0.7992982391701666,79.92982391701666,1.2648586316727157,99.9990488339211,0.06060265179585575,533.1973073634983
tower_1_ads_6p0bar_des_0p1bar_25c_purge_002,6.0,0.1,0.6319269356711686,63.19269356711686,0.9095880465652477,90.95880465652478,1.439387997600032,99.99783827880476,0.020458413598608706,127.78892791707125
tower_1_ads_6p0bar_des_0p2bar_25c_purge_002,6.0,0.2,0.6319269356711686,63.19269356711686,0.8844829538027977,88.44829538027977,1.3996601566973716,99.99811713415605,0.02688199183406505,194.16134532353303
tower_1_ads_6p0bar_des_0p3bar_25c_purge_002,6.0,0.3,0.6319269356711686,63.19269356711686,0.8607438845569401,86.074388455694,1.3620939953172677,99.9983955325525,0.03330042370168403,260.48240274368686
tower_1_ads_6p0bar_des_0p4bar_25c_purge_002,6.0,0.4,0.6319269356711686,63.19269356711686,0.8382629506949707,83.82629506949706,1.3265187846513504,99.99867600773018,0.03971372667921072,326.75297608427616
tower_1_ads_6p0bar_des_0p5bar_25c_purge_002,6.0,0.5,0.6319269356711686,63.19269356711686,0.8169429909113589,81.69429909113589,1.2927807706814791,99.99895414148695,0.04612190297254248,392.9735873503296
tower_1_ads_8p0bar_des_0p1bar_25c_purge_002,8.0,0.1,0.6319269356711686,63.19269356711686,0.9116037805497292,91.16037805497292,1.4425778188763487,99.99786988876366,0.01601524463831981,92.57857423950998
tower_1_ads_8p0bar_des_0p2bar_25c_purge_002,8.0,0.2,0.6319269356711686,63.19269356711686,0.8909930150056199,89.09930150056199,1.4099620774343122,99.99811505251009,0.020207068915794327,135.87253045331823
tower_1_ads_8p0bar_des_0p3bar_25c_purge_002,8.0,0.3,0.6319269356711688,63.192693567116876,0.8713075235276722,87.13075235276722,1.3788105465108202,99.99836285466166,0.02439554511143016,179.1324607663376
tower_1_ads_8p0bar_des_0p4bar_25c_purge_002,8.0,0.4,0.6319269356711686,63.19269356711686,0.8524874591970856,85.24874591970855,1.3490285206653834,99.99861095284132,0.028580674724663798,222.35947428156624
tower_1_ads_8p0bar_des_0p5bar_25c_purge_002,8.0,0.5,0.6319269356711688,63.192693567116876,0.8344771255560782,83.44771255560782,1.320527862401974,99.99885864417816,0.032762467052713865,265.5537721316722
tower_1_ads_10p0bar_des_0p1bar_25c_purge_002,10.0,0.1,0.6319269356711686,63.19269356711686,0.9115970041921504,91.15970041921504,1.4425670955518688,99.99783714861293,0.0133376906116893,72.0891023445626
tower_1_ads_10p0bar_des_0p2bar_25c_purge_002,10.0,0.2,0.6319269356711686,63.19269356711686,0.8937912424431669,89.37912424431669,1.414390164416512,99.99807099763667,0.016344098300535594,103.13346955332406
tower_1_ads_10p0bar_des_0p3bar_25c_purge_002,10.0,0.3,0.6319269356711686,63.19269356711686,0.8766794275526505,87.66794275526505,1.3873113774166481,99.99830376402764,0.019348091110376487,134.15313206832295
tower_1_ads_10p0bar_des_0p4bar_25c_purge_002,10.0,0.4,0.6319269356711688,63.192693567116876,0.8602231020092843,86.02231020092843,1.361269877024062,99.99853361296228,0.02234968033997077,165.1492330162014
tower_1_ads_10p0bar_des_0p5bar_25c_purge_002,10.0,0.5,0.6319269356711686,63.19269356711686,0.844385141259614,84.43851412596139,1.3362069150649414,99.99876911574259,0.02534889068050356,196.12157091060888
tower_1_ads_12p0bar_des_0p1bar_25c_purge_002,12.0,0.1,0.6319269356711686,63.19269356711686,0.9105633918793575,91.05633918793575,1.4409314439370267,99.99775663079802,0.011535533033990977,58.6940220665376
tower_1_ads_12p0bar_des_0p2bar_25c_purge_002,12.0,0.2,0.6319269356711688,63.192693567116876,0.8946860343362226,89.46860343362226,1.415806138071924,99.99798346136652,0.013825207233241437,82.33551281712232
tower_1_ads_12p0bar_des_0p3bar_25c_purge_002,12.0,0.3,0.6319269356711686,63.19269356711686,0.879362743992985,87.9362743992985,1.3915576221782906,99.99820963572768,0.016113047915461563,105.95788162214374
tower_1_ads_12p0bar_des_0p4bar_25c_purge_002,12.0,0.4,0.6319269356711686,63.19269356711686,0.8645664816175047,86.45664816175046,1.3681431077142645,99.99843600175234,0.01839906927229362,129.5620825456289
tower_1_ads_12p0bar_des_0p5bar_25c_purge_002,12.0,0.5,0.6319269356711686,63.19269356711686,0.850270970551526,85.0270970551526,1.3455210128817416,99.9986622478373,0.02068326638197121,153.14845029200686
tower_1_ads_15p0bar_des_0p1bar_25c_purge_002,15.0,0.1,0.6319269356711686,63.19269356711686,0.9079763852942627,90.79763852942627,1.4368376058062826,99.99755755415202,0.009708811194263032,45.522185548635704
tower_1_ads_15p0bar_des_0p2bar_25c_purge_002,15.0,0.2,0.6319269356711686,63.19269356711686,0.8940908104421914,89.40908104421914,1.4148642192195509,99.99778332949737,0.0113480804607752,62.448021966583866
tower_1_ads_15p0bar_des_0p3bar_25c_purge_002,15.0,0.3,0.6319269356711686,63.19269356711686,0.8806309627897427,88.06309627897427,1.3935645295043895,99.99801223629771,0.01298605681788073,79.35968117620219
tower_1_ads_15p0bar_des_0p4bar_25c_purge_002,15.0,0.4,0.6319269356711688,63.192693567116876,0.8675802391720617,86.75802391720617,1.372912262792859,99.99823889136108,0.014622706952909837,96.25840765615047
tower_1_ads_15p0bar_des_0p5bar_25c_purge_002,15.0,0.5,0.6319269356711688,63.192693567116876,0.854920078456897,85.4920078456897,1.352878046809142,99.99846714784006,0.01625806844662389,113.14416111755126
