case,temperature_c,product_ch4_mole_percent,methane_recovery_percent,methane_enrichment_factor,product_ch4_kmol,product_h2_kmol,product_h2_mole_percent,ch4_productivity_kmol_per_h,adsorption_end_time_s,desorption_end_time_s,cycle_time_s
tower_1_ads_4p8bar_des_0p1bar_25c_purge_001,25.0,90.6406028685303,99.99778393507667,1.4343525770469183,0.24135104516416264,0.024921505465526333,9.359397131469708,3.3845333878372017,71.92263903075653,184.79332829087485,256.7159673216314
tower_1_ads_4p8bar_des_0p1bar_26c_purge_001,26.0,90.65030808039101,99.99778038992653,1.4345061582809642,0.24252191861039768,0.025013761903035336,9.349691919608977,3.3844846222239955,72.27156201368679,185.69353591124292,257.9650979249297
tower_1_ads_4p8bar_des_0p1bar_27c_purge_001,27.0,90.65995311260714,99.99777437242284,1.4346587871953478,0.2436946706138406,0.025106119864345213,9.340046887392866,3.3844360808355924,72.62104662714847,186.59519893220838,259.2162455593568
tower_1_ads_4p8bar_des_0p1bar_28c_purge_001,28.0,90.669539297483,99.99777356218411,1.434810484873271,0.24486931687339067,0.025198578883732968,9.330460702516989,3.384387697740404,72.97109197141297,187.49833986488701,260.4694318363
tower_1_ads_4p8bar_des_0p1bar_29c_purge_001,29.0,90.67906601984954,99.99776456791906,1.4349612415799216,0.24604582161827612,0.025291138959170706,9.320933980150462,3.3843396637267302,73.32169715105486,188.4029067116724,261.72460386272724
tower_1_ads_4p8bar_des_0p1bar_30c_purge_001,30.0,90.68853553607953,99.99776345843367,1.4351110930215274,0.24722422129553542,0.02538379892900526,9.31146446392048,3.3842918749298208,73.67286127491775,189.30894690094573,262.9818081758635
tower_1_ads_4p8bar_des_0p1bar_31c_purge_001,31.0,90.6979464725404,99.9977572187651,1.4352600174608832,0.24840448087713607,0.02547656112897234,9.30205352745961,3.384244210980514,74.02458345608058,190.21643326965912,264.2410167257397
tower_1_ads_4p8bar_des_0p1bar_32c_purge_001,32.0,90.70730095550236,99.99775352617266,1.435408048545395,0.24958661638077181,0.025569422605780944,9.29269904449764,3.3841969289158262,74.3768628118241,191.1253635194991,265.5022263313232
tower_1_ads_4p8bar_des_0p1bar_33c_purge_001,33.0,90.71659885983662,99.99774930884216,1.435555184294948,0.25077061724503424,0.025662384429215104,9.283401140163376,3.384149922020004,74.72969846359807,192.0357353630617,266.7654338266598
tower_1_ads_4p8bar_des_0p1bar_34c_purge_001,34.0,90.72582917879214,99.99774614283832,1.4357012505319522,0.2519562823395163,0.025755461515686764,9.274170821207864,3.3841031878309895,75.0830292967357,192.9473959231346,268.03042521987027
tower_1_ads_4p8bar_des_0p1bar_35c_purge_001,35.0,90.73501518820419,99.99773939402749,1.435846615587523,0.2531440010175369,0.02584862436800043,9.264984811795815,3.3840566731198143,75.43697482344876,193.8606438901806,269.2976187136294
