time_s,position_m,C_H2,C_CH4,q_H2,q_CH4,u
0.0,0.010617051433151645,0.012072272863574656,0.022512818546164735,7.481016095297675e-06,0.00033017962398150676,0.0
0.0,0.02123410286630329,0.012074209847392034,0.020960696382454805,7.50808948532759e-06,0.00030848547355328057,0.0
0.0,0.03185115429945494,0.012076099059696534,0.01944685408235619,7.534676623143722e-06,0.0002871809633500538,0.0
0.0,0.04246820573260658,0.012077936570560043,0.01797444073598556,7.560709871381786e-06,0.0002663202918938238,0.0
0.0,0.05308525716575822,0.01207971835074922,0.016546685007356534,7.58611882464576e-06,0.0002459598757411722,0.0
0.0,0.06370230859890988,0.012081440311851231,0.015166862979667493,7.6108309280501736e-06,0.00022615785383408473,0.0
0.0,0.07431936003206152,0.012083098356645538,0.013838257793834413,7.634772282104117e-06,0.00020697344253531734,0.0
0.0,0.08493641146521316,0.012084688440366483,0.012564110554587024,7.657868648590413e-06,0.00018846612960072892,0.0
0.0,0.0955534628983648,0.012086206643098948,0.011347562321467067,7.680046664678123e-06,0.00017069470129614015,0.0
0.0,0.10617051433151645,0.012087649252922768,0.01019158748332226,7.70123526184271e-06,0.00015371610539813055,0.0
0.0,0.1167875657646681,0.012089012858657662,0.0090989194407968,7.721367272152696e-06,0.00013758416405773309,0.0
0.0,0.12740461719781976,0.012090294450104348,0.008071970282177219,7.740381187287649e-06,0.00012234816428042424,0.0
0.0,0.1380216686309714,0.01209149152260061,0.00711274700147458,7.758223016043576e-06,0.00010805136948887682,0.0
0.0,0.14863872006412304,0.012092602181581395,0.006222767713552688,7.774848165446956e-06,9.472951217029425e-05,0.0
0.0,0.15925577149727468,0.012093625241761812,0.00540298217868693,7.79022325102768e-06,8.240934329244585e-05,0.0
0.0,0.16987282293042633,0.012094560314697047,0.004653701639584044,7.804327726003797e-06,7.110732682936839e-05,0.0
0.0,0.180489874363578,0.012095407877995706,0.003974543360943305,7.81715521020334e-06,6.0828574894262825e-05,0.0
0.0,0.1911069257967296,0.012096169319525523,0.0033643952085475066,7.828714400510503e-06,5.1566118203785485e-05,0.0
0.0,0.20172397722988128,0.012096846950702157,0.0028214050006779186,7.839029457870185e-06,4.3300595981880535e-05,0.0
0.0,0.2123410286630329,0.012097443984470869,0.002342998153705186,7.848139792501143e-06,3.600042808715559e-05,0.0
0.0,0.22295808009618456,0.01209796447581246,0.0019259253530621578,7.85609920812707e-06,2.962250076237625e-05,0.0
