time_s,C_H2_out_kmol_per_m3,C_CH4_out_kmol_per_m3,y_CH4_out,u_out_m_per_s,is_product_cut
2.654262858287911e-05,0.08831266640088589,0.1516197681059536,0.6319269356708483,0.04,False
0.02651608595429623,0.08831266640089819,0.15161976810593422,0.6319269356707863,0.04,False
0.05305871453717534,0.08831266640091012,0.15161976810593422,0.6319269356707549,0.04,False
0.07960134312005446,0.08831266640092202,0.15161976810593428,0.6319269356707236,0.04,False
0.10614397170293356,0.08831266640093394,0.15161976810593444,0.6319269356706925,0.04,False
0.1326866002858127,0.08831266640094586,0.15161976810593464,0.6319269356706613,0.04,False
0.15922922886869179,0.08831266640095776,0.1516197681059348,0.6319269356706303,0.04,False
0.1857718574515709,0.08831266640096967,0.151619768105935,0.6319269356705992,0.04,False
0.21231448603445,0.0883126664009816,0.15161976810593517,0.631926935670568,0.04,False
0.2388571146173291,0.0883126664009935,0.15161976810593533,0.6319269356705369,0.04,False
0.2653997432002082,0.08831266640100542,0.15161976810593553,0.6319269356705058,0.04,False
0.2919423717830873,0.08831266640101731,0.15161976810593572,0.6319269356704748,0.04,False
0.31848500036596644,0.08831266640102922,0.1516197681059359,0.6319269356704437,0.04,False
0.34502762894884553,0.08831266640104114,0.15161976810593608,0.6319269356704127,0.04,False
0.3715702575317247,0.08831266640105306,0.15161976810593625,0.6319269356703815,0.04,False
0.39811288611460377,0.08831266640106497,0.15161976810593641,0.6319269356703504,0.04,False
0.42465551469748286,0.08831266640107688,0.1516197681059366,0.6319269356703193,0.04,False
0.451198143280362,0.08831266640108877,0.15161976810593678,0.6319269356702882,0.04,False
0.4777407718632411,0.0883126664011007,0.15161976810593697,0.6319269356702572,0.04,False
0.5042834004461202,0.0883126664011126,0.15161976810593714,0.6319269356702261,0.04,False
0.5308260290289993,0.08831266640112452,0.15161976810593733,0.6319269356701949,0.04,False
0.5573686576118785,0.08831266640113644,0.15161976810593752,0.6319269356701638,0.04,False
0.5839112861947575,0.08831266640114835,0.15161976810593766,0.6319269356701327,0.04,False
0.6104539147776367,0.08831266640116026,0.15161976810593786,0.6319269356701016,0.04,False
0.6369965433605158,0.08831266640117218,0.15161976810593805,0.6319269356700705,0.04,False
0.663539171943395,0.08831266640118408,0.15161976810593822,0.6319269356700393,0.04,False
0.690081800526274,0.088312666401196,0.1516197681059384,0.6319269356700083,0.04,False
0.716624429109153,0.0883126664012079,0.1516197681059386,0.6319269356699773,0.04,False
0.7431670576920323,0.0883126664012198,0.15161976810593875,0.6319269356699461,0.04,False
0.7697096862749113,0.08831266640123173,0.15161976810593894,0.631926935669915,0.04,False
0.7962523148577905,0.08831266640124363,0.1516197681059391,0.6319269356698839,0.04,False
0.8227949434406696,0.08831266640125555,0.1516197681059393,0.6319269356698528,0.04,False
0.8493375720235488,0.08831266640126746,0.1516197681059395,0.6319269356698217,0.04,False
0.8758802006064279,0.08831266640127935,0.15161976810593963,0.6319269356697906,0.04,False
0.902422829189307,0.08831266640129128,0.15161976810593983,0.6319269356697595,0.04,False
0.9289654577721861,0.08831266640130318,0.15161976810594,0.6319269356697285,0.04,False
0.9555080863550652,0.0883126664013151,0.1516197681059402,0.6319269356696974,0.04,False
0.9820507149379444,0.08831266640132701,0.15161976810594038,0.6319269356696663,0.04,False
1.0085933435208232,0.08831266640133893,0.15161976810594055,0.6319269356696352,0.04,False
1.0351359721037023,0.08831266640135084,0.15161976810594072,0.631926935669604,0.04,False
1.0616786006865815,0.08831266640136273,0.1516197681059409,0.631926935669573,0.04,False
1.0882212292694604,0.08831266640137467,0.15161976810594108,0.6319269356695418,0.04,False
1.1147638578523398,0.08831266640138656,0.15161976810594127,0.6319269356695109,0.04,False
1.141306486435219,0.08831266640139848,0.15161976810594147,0.6319269356694797,0.04,False
1.1678491150180978,0.08831266640141039,0.15161976810594163,0.6319269356694486,0.04,False
1.194391743600977,0.0883126664014223,0.1516197681059418,0.6319269356694175,0.04,False
1.2209343721838564,0.08831266640143422,0.15161976810594197,0.6319269356693864,0.04,False
1.2474770007667353,0.08831266640144614,0.15161976810594216,0.6319269356693553,0.04,False
1.2740196293496144,0.08831266640145805,0.15161976810594235,0.6319269356693242,0.04,False
1.3005622579324934,0.08831266640146994,0.15161976810594252,0.6319269356692931,0.04,False
1.3271048865153725,0.08831266640148186,0.15161976810594271,0.6319269356692621,0.04,False
1.3536475150982519,0.08831266640149377,0.15161976810594288,0.631926935669231,0.04,False
1.3801901436811308,0.08831266640150567,0.15161976810594305,0.6319269356691998,0.04,False
1.40673277226401,0.0883126664015176,0.15161976810594324,0.6319269356691688,0.04,False
1.433275400846889,0.0883126664015295,0.1516197681059434,0.6319269356691376,0.04,False
1.4598180294297682,0.08831266640154142,0.1516197681059436,0.6319269356691065,0.04,False
1.4863606580126474,0.08831266640155332,0.15161976810594377,0.6319269356690755,0.04,False
1.5129032865955263,0.08831266640156525,0.15161976810594396,0.6319269356690442,0.04,False
1.5394459151784055,0.08831266640157714,0.15161976810594416,0.6319269356690133,0.04,False
1.5659885437612848,0.08831266640158907,0.15161976810594432,0.6319269356689822,0.04,False
1.5925311723441637,0.08831266640160097,0.1516197681059445,0.631926935668951,0.04,False
1.619073800927043,0.08831266640161288,0.15161976810594466,0.63192693566892,0.04,False
1.645616429509922,0.0883126664016248,0.15161976810594485,0.6319269356688888,0.04,False
1.672159058092801,0.08831266640163768,0.15161976810594505,0.6319269356688552,0.04,False
1.6987016866756803,0.08831266640165633,0.15161976810594532,0.6319269356688065,0.04,False
1.7252443152585593,0.08831266640167594,0.1516197681059456,0.6319269356687554,0.04,False
1.7517869438414384,0.08831266640169555,0.1516197681059459,0.6319269356687042,0.04,False
1.7783295724243176,0.08831266640171516,0.1516197681059462,0.6319269356686529,0.04,False
