time_s,position_m,C_H2,C_CH4,q_H2,q_CH4,u
0.0,0.015014778129175763,0.0040241130213207596,0.022501358553040984,2.49569732067337e-06,0.00033017983376002445,0.0
0.0,0.030029556258351527,0.004024720068195785,0.02104329966790644,2.5041861501378208e-06,0.00030979061365127677,0.0
0.0,0.04504433438752729,0.004025315877634505,0.01961223180831288,2.5125717227617554e-06,0.0002896494043064625,0.0
0.0,0.06005911251670305,0.004025898974767834,0.018211697444761234,2.5208305683502528e-06,0.00026981257848509427,0.0
0.0,0.07507389064587881,0.004026467855880193,0.01684530833272005,2.5289382922201558e-06,0.0002503387294667999,0.0
0.0,0.09008866877505459,0.004027020998185152,0.01551672203490894,2.536869723762451e-06,0.00023128831422383392,0.0
0.0,0.10510344690423035,0.004027556872746884,0.014229610884166273,2.544599121108563e-06,0.00021272316183624027,0.0
0.0,0.1201182250334061,0.004028073960845655,0.012987622676787604,2.552100438047212e-06,0.000194705832389871,0.0
0.0,0.13513300316258187,0.004028570773981511,0.011794332623794753,2.5593476576779535e-06,0.0001772988155782113,0.0
0.0,0.15014778129175763,0.004029045877566401,0.01065318644726994,2.5663151946910554e-06,0.00016056356447405597,0.0
0.0,0.16516255942093339,0.0040294979181420285,0.009567435005368921,2.5729783644974456e-06,0.00014455936873285796,0.0
0.0,0.18017733755010917,0.004029925653699792,0.008540061467082019,2.579313912674777e-06,0.00012934208292356237,0.0
0.0,0.19519211567928493,0.004030327986358907,0.007573702823419696,2.585300592432137e-06,0.00011496273952397358,0.0
0.0,0.2102068938084607,0.004030703996301484,0.006670568379722872,2.590919771305642e-06,0.00010146609170633782,0.0
0.0,0.22522167193763643,0.0040310529754934606,0.005832358760416105,2.596156041570113e-06,8.888914719535705e-05,0.0
0.0,0.2402364500668122,0.004031374459380696,0.005060189779340959,2.6009978026064367e-06,7.725976948602236e-05,0.0
0.0,0.255251228195988,0.004031668254481006,0.004354526166241955,2.6054377786033294e-06,6.659543437922298e-05,0.0
0.0,0.27026600632516373,0.004031934459662539,0.003715130458314933,2.6094734325146267e-06,5.690223569928666e-05,0.0
0.0,0.28528078445433946,0.004032173478953142,0.003141032233960096,2.6131072380991755e-06,4.817423188083137e-05,0.0
0.0,0.30029556258351525,0.004032386024008414,0.0026305221825890335,2.616346776862189e-06,4.0393213120414645e-05,0.0
0.0,0.31531034071269104,0.0040325731049024585,0.002181174226666588,2.619204636062217e-06,3.3528946349056995e-05,0.0
0.0,0.33032511884186677,0.004032736008660462,0.0017898970814345964,2.6216980972623824e-06,2.753992329079139e-05,0.0
0.0,0.34533989697104256,0.004032876265894381,0.0014530143937664267,2.6238486211111462e-06,2.2374597958278317e-05,0.0
0.0,0.36035467510021835,0.004032995606904938,0.0011663701782201243,2.6256811513610334e-06,1.7973058317168035e-05,0.0
0.0,0.3753694532293941,0.0040330959095778475,0.0009254539664331189,2.627223277398344e-06,1.426903779503729e-05,0.0
0.0,0.39038423135856987,0.004033179142170275,0.0007255382255301893,2.628504307478541e-06,1.1192141264066744e-05,0.0
0.0,0.4053990094877456,0.0040332473045647564,0.0005618194614766252,2.6295543125484734e-06,8.670141674844933e-06,0.0
0.0,0.4204137876169214,0.004033302371660617,0.0004295541850922441,2.6304032018136373e-06,6.631200441324839e-06,0.0
