case,purge_fraction,purge_percent,report_tower_count,report_total_tower_volume_m3,report_psa_construction_cost_jpy,report_activated_carbon_mass_t,report_activated_carbon_cost_jpy_per_year,service_years,annualized_psa_construction_cost_jpy_per_year,total_annual_cost_jpy_per_year,total_7_year_cost_jpy,is_minimum_annual_cost
tower_1_ads_5p0bar_des_0p1bar_40c_purge_001,0.01,1.0,4,1.31361066162294,4909069.917394238,0.65680533081147,656805.3308114699,7.0,701295.702484891,1358101.033296361,9506707.233074527,False
tower_1_ads_5p0bar_des_0p1bar_40c_purge_002,0.02,2.0,3,0.9852079962172049,4299930.179031032,0.49260399810860245,492603.9981086024,7.0,614275.739861576,1106879.7379701785,7748158.165791249,True
tower_1_ads_5p0bar_des_0p1bar_40c_purge_003,0.03,3.0,3,0.9852079962172049,4299930.179031032,0.49260399810860245,492603.9981086024,7.0,614275.739861576,1106879.7379701785,7748158.165791249,True
tower_1_ads_5p0bar_des_0p1bar_40c_purge_004,0.04,4.0,3,0.9852079962172049,4299930.179031032,0.49260399810860245,492603.9981086024,7.0,614275.739861576,1106879.7379701785,7748158.165791249,True
tower_1_ads_5p0bar_des_0p1bar_40c_purge_005,0.05,5.0,3,0.9852079962172049,4299930.179031032,0.49260399810860245,492603.9981086024,7.0,614275.739861576,1106879.7379701785,7748158.165791249,True
