adsorption_pressure_bar,simulation_adsorption_pressure_bar,desorption_pressure_bar,tower_height_m,tower_diameter_m,single_tower_volume_m3,adsorption_time_s,interpolated_desorption_time_s,interpolated_cycle_time_s,tower_count,total_tower_volume_m3,psa_bare_module_cost_jpy,activated_carbon_mass_t,activated_carbon_cost_jpy,compressor_vacuum_cost_jpy,total_equipment_cost_jpy,depreciation_period_years,annualized_equipment_cost_jpy_per_year,electricity_cost_jpy_per_year,objective_cost_jpy_per_year,annualized_equipment_cost_million_jpy_per_year,electricity_cost_million_jpy_per_year,objective_cost_million_jpy_per_year,is_optimum
5,4.8,0.122,1.1870224362569322,0.5935112181284661,0.328402665405735,71.91955277242225,112.72886283024899,184.64841560267124,3,0.9852079962172049,4299930.179031032,0.49260399810860245,492603.9981086024,92347,4884881.177139634,7.0,697840.1681628049,253587,951427.1681628049,0.6978401681628049,0.253587,0.9514271681628049,True
6,6.0,0.138,1.0617051433151645,0.5308525716575823,0.2349858188285894,61.334812299831384,91.67494837017276,153.00976067000414,3,0.7049574564857682,3721660.4501043153,0.3524787282428841,352478.7282428841,892902,4967041.178347199,7.0,709577.311192457,4034667,4744244.311192457,0.7095773111924569,4.034667,4.744244311192457,False
8,8.0,0.156,0.9194636254395306,0.4597318127197653,0.15262776647598456,49.21778451342755,67.60437540655455,116.82215991998211,3,0.4578832994279537,3137390.195478535,0.22894164971397685,228941.64971397683,961595,4327926.845192512,7.0,618275.2635989302,4416333,5034608.26359893,0.6182752635989303,4.416333,5.03460826359893,False
10,10.0,0.165,0.8223932677284781,0.41119663386423905,0.10921153955016476,40.98573664277432,51.28102836511037,92.26676500788469,3,0.32763461865049426,2781214.7360012783,0.16381730932524713,163817.30932524713,1035788,3980820.0453265253,7.0,568688.5779037894,4835333,5404021.5779037895,0.5686885779037893,4.835333,5.40402157790379,False
12,12.0,0.167,0.7507389064587882,0.3753694532293941,0.08308003298818453,34.99847185853031,39.5341166729841,74.5325885315144,3,0.2492400989645536,2540059.4168958804,0.1246200494822768,124620.0494822768,1112177,3776856.466378157,7.0,539550.9237683081,5273667,5813217.923768308,0.5395509237683082,5.273667,5.813217923768308,False
15,15.0,0.157,0.6714812912782825,0.33574064563914124,0.05944723242704181,28.54688558050101,26.621974179441068,55.16885975994208,3,0.17834169728112542,2294866.2555291234,0.08917084864056271,89170.8486405627,1237093,3621130.104169686,7.0,517304.3005956694,6004667,6521971.300595669,0.5173043005956695,6.004667,6.521971300595669,False
