desorption_pressure_bar,product_methane_mole_percent,methane_recovery_percent
0.1,90.63942947,99.99778536
0.2,87.69836786,99.99810067
0.3,84.94421879,99.99841618
0.4,82.35977078,99.99873043
0.5,79.92982392,99.99904883
0.6,77.6409197,99.99936524
0.7,75.48113701,99.99968076
0.8,73.43984114,100.0000006
