time_s,position_m,C_H2_kmol_per_m3,C_CH4_kmol_per_m3,y_CH4_mol_percent,q_H2,q_CH4,u_m_per_s
71.91955277242225,0.011870224362569322,0.07065013312068902,0.12129581448478365,63.192693567095304,3.5744263067344244e-05,0.001451745129632535,0.0999999999999542
71.91955277242225,0.023740448725138644,0.07065013312073047,0.12129581448474232,63.19269356707373,3.5744263067367764e-05,0.0014517451296321446,0.09999999999990838
71.91955277242225,0.03561067308770797,0.07065013312077188,0.12129581448470099,63.192693567052174,3.574426306739128e-05,0.0014517451296317538,0.09999999999986259
71.91955277242225,0.04748089745027729,0.07065013312081334,0.12129581448465966,63.1926935670306,3.574426306741481e-05,0.0014517451296313633,0.09999999999981678
71.91955277242225,0.0593511218128466,0.07065013312085475,0.12129581448461836,63.19269356700904,3.5744263067438325e-05,0.001451745129630973,0.09999999999977097
71.91955277242225,0.07122134617541594,0.07065013312089617,0.12129581448457705,63.19269356698748,3.574426306746185e-05,0.0014517451296305825,0.09999999999972516
71.91955277242225,0.08309157053798526,0.0706501331209376,0.12129581448453573,63.19269356696592,3.5744263067485366e-05,0.0014517451296301922,0.09999999999967935
71.91955277242225,0.09496179490055458,0.07065013312097904,0.1212958144844944,63.19269356694436,3.574426306750889e-05,0.0014517451296298016,0.09999999999963355
71.91955277242225,0.1068320192631239,0.07065013312102049,0.12129581448445308,63.192693566922784,3.5744263067532434e-05,0.001451745129629411,0.09999999999958774
71.91955277242225,0.1187022436256932,0.07065013312106191,0.12129581448441176,63.19269356690123,3.574426306755595e-05,0.0014517451296290206,0.09999999999954193
71.91955277242225,0.13057246798826255,0.07065013312110334,0.12129581448437043,63.192693566879655,3.5744263067579475e-05,0.00145174512962863,0.09999999999949612
71.91955277242225,0.14244269235083187,0.07065013312114479,0.1212958144843291,63.1926935668581,3.5744263067603e-05,0.0014517451296282395,0.0999999999994503
71.91955277242225,0.15431291671340117,0.07065013312118622,0.12129581448428778,63.192693566836525,3.5744263067626536e-05,0.001451745129627849,0.09999999999940451
71.91955277242225,0.16618314107597051,0.07065013312122764,0.12129581448424648,63.192693566814974,3.574426306765004e-05,0.0014517451296274585,0.0999999999993587
71.91955277242225,0.17805336543853983,0.07065013312126908,0.12129581448420515,63.1926935667934,3.574426306767358e-05,0.0014517451296270681,0.09999999999931289
71.91955277242225,0.18992358980110916,0.07065013312131052,0.12129581448416382,63.19269356677184,3.57442630676971e-05,0.0014517451296266776,0.09999999999926708
71.91955277242225,0.20179381416367848,0.07065013312135195,0.1212958144841225,63.19269356675027,3.5744263067720624e-05,0.0014517451296262869,0.09999999999922127
71.91955277242225,0.2136640385262478,0.07065013312139339,0.12129581448408117,63.1926935667287,3.574426306774416e-05,0.0014517451296258961,0.09999999999917547
71.91955277242225,0.2255342628888171,0.07065013312143482,0.12129581448403985,63.192693566707135,3.574426306776768e-05,0.001451745129625506,0.09999999999912966
71.91955277242225,0.2374044872513864,0.07065013312147624,0.12129581448399852,63.19269356668558,3.574426306779119e-05,0.0014517451296251153,0.09999999999908385
71.91955277242225,0.24927471161395579,0.07065013312151769,0.1212958144839572,63.192693566664005,3.5744263067814726e-05,0.0014517451296247247,0.09999999999903804
71.91955277242225,0.2611449359765251,0.07065013312155913,0.12129581448391587,63.19269356664243,3.574426306783826e-05,0.0014517451296243342,0.09999999999899223
71.91955277242225,0.2730151603390944,0.07065013312160054,0.12129581448387455,63.19269356662088,3.5744263067861774e-05,0.0014517451296239437,0.09999999999894643
71.91955277242225,0.28488538470166375,0.07065013312164199,0.12129581448383323,63.19269356659931,3.57442630678853e-05,0.0014517451296235532,0.09999999999890062
71.91955277242225,0.29675560906423304,0.07065013312168342,0.1212958144837919,63.19269356657775,3.574426306790883e-05,0.0014517451296231628,0.09999999999885481
71.91955277242225,0.30862583342680233,0.07065013312172486,0.12129581448375058,63.19269356655618,3.574426306793235e-05,0.0014517451296227723,0.099999999998809
71.91955277242225,0.32049605778937174,0.0706501331217663,0.12129581448370926,63.19269356653461,3.574426306795588e-05,0.0014517451296223816,0.09999999999876319
71.91955277242225,0.33236628215194103,0.07065013312180775,0.12129581448366793,63.19269356651305,3.574426306797942e-05,0.0014517451296219913,0.09999999999871739
71.91955277242225,0.3442365065145103,0.07065013312184916,0.1212958144836266,63.192693566491485,3.574426306800293e-05,0.0014517451296216005,0.09999999999867158
71.91955277242225,0.35610673087707967,0.07065013312189061,0.12129581448358527,63.192693566469906,3.574426306802646e-05,0.00145174512962121,0.09999999999862577
71.91955277242225,0.36797695523964896,0.07065013312193201,0.12129581448354397,63.19269356644837,3.5744263068049964e-05,0.0014517451296208197,0.09999999999857996
71.91955277242225,0.3798471796022183,0.07065013312197342,0.12129581448350264,63.192693566426804,3.574426306807348e-05,0.001451745129620429,0.09999999999853415
71.91955277242225,0.3917174039647876,0.07065013312201486,0.12129581448346131,63.19269356640525,3.574426306809701e-05,0.0014517451296200386,0.09999999999848835
71.91955277242225,0.40358762832735695,0.07065013312205631,0.12129581448341999,63.192693566383674,3.5744263068120546e-05,0.0014517451296196479,0.09999999999844254
71.91955277242225,0.41545785268992624,0.07065013312209774,0.12129581448337867,63.19269356636211,3.5744263068144066e-05,0.0014517451296192575,0.09999999999839673
71.91955277242225,0.4273280770524956,0.07065013312213918,0.12129581448333734,63.19269356634054,3.5744263068167594e-05,0.0014517451296188668,0.09999999999835092
71.91955277242225,0.4391983014150649,0.07065013312218062,0.12129581448329602,63.19269356631898,3.574426306819112e-05,0.0014517451296184765,0.09999999999830511
71.91955277242225,0.4510685257776342,0.07065013312222206,0.12129581448325467,63.1926935662974,3.574426306821465e-05,0.0014517451296180857,0.09999999999825931
71.91955277242225,0.4629387501402035,0.0706501331222635,0.12129581448321335,63.192693566275835,3.5744263068238175e-05,0.0014517451296176952,0.0999999999982135
71.91955277242225,0.4748089745027728,0.07065013312230495,0.12129581448317202,63.19269356625426,3.574426306826171e-05,0.0014517451296173047,0.0999999999981677
71.91955277242225,0.4866791988653422,0.07065013312234636,0.12129581448313072,63.19269356623272,3.574426306828522e-05,0.0014517451296169142,0.09999999999812188
71.91955277242225,0.49854942322791157,0.07065013312238781,0.12129581448308939,63.19269356621113,3.574426306830876e-05,0.0014517451296165236,0.09999999999807607
71.91955277242225,0.5104196475904809,0.07065013312242924,0.12129581448304806,63.192693566189575,3.5744263068332284e-05,0.0014517451296161333,0.09999999999803028
71.91955277242225,0.5222898719530502,0.07065013312247066,0.12129581448300675,63.19269356616801,3.57442630683558e-05,0.0014517451296157426,0.09999999999798447
71.91955277242225,0.5341600963156194,0.0706501331225121,0.12129581448296542,63.19269356614645,3.5744263068379325e-05,0.001451745129615352,0.09999999999793865
71.91955277242225,0.5460303206781888,0.07065013312255354,0.12129581448292409,63.19269356612488,3.574426306840286e-05,0.0014517451296149617,0.09999999999789284
71.91955277242225,0.5579005450407581,0.07065013312259498,0.12129581448288276,63.19269356610332,3.5744263068426386e-05,0.001451745129614571,0.09999999999784703
71.91955277242225,0.5697707694033275,0.07065013312263639,0.12129581448284146,63.19269356608176,3.57442630684499e-05,0.0014517451296141804,0.09999999999780124
71.91955277242225,0.5816409937658967,0.07065013312267783,0.12129581448280014,63.1926935660602,3.5744263068473427e-05,0.0014517451296137903,0.09999999999775543
71.91955277242225,0.5935112181284661,0.07065013312271927,0.12129581448275881,63.19269356603863,3.5744263068496954e-05,0.0014517451296133994,0.09999999999770962
71.91955277242225,0.6053814424910354,0.07065013312276071,0.12129581448271748,63.192693566017056,3.574426306852048e-05,0.0014517451296130089,0.0999999999976638
71.91955277242225,0.6172516668536047,0.07065013312280216,0.12129581448267615,63.192693565995484,3.5744263068544015e-05,0.0014517451296126183,0.099999999997618
71.91955277242225,0.629121891216174,0.07065013312284359,0.12129581448263482,63.192693565973926,3.5744263068567535e-05,0.001451745129612228,0.0999999999975722
71.91955277242225,0.6409921155787435,0.070650133122885,0.1212958144825935,63.192693565952354,3.574426306859105e-05,0.001451745129611837,0.09999999999752639
71.91955277242225,0.6528623399413127,0.07065013312292645,0.12129581448255217,63.19269356593079,3.574426306861459e-05,0.001451745129611447,0.09999999999748058
71.91955277242225,0.6647325643038821,0.07065013312296788,0.12129581448251084,63.19269356590922,3.57442630686381e-05,0.0014517451296110562,0.09999999999743477
71.91955277242225,0.6766027886664513,0.07065013312300929,0.12129581448246955,63.19269356588767,3.574426306866162e-05,0.0014517451296106661,0.09999999999738896
71.91955277242225,0.6884730130290206,0.0706501331230507,0.12129581448242825,63.19269356586612,3.5744263068685124e-05,0.0014517451296102756,0.09999999999734316
71.91955277242225,0.70034323739159,0.07065013312309214,0.12129581448238692,63.19269356584455,3.574426306870866e-05,0.001451745129609885,0.09999999999729735
71.91955277242225,0.7122134617541593,0.07065013312313359,0.1212958144823456,63.192693565822985,3.574426306873219e-05,0.0014517451296094945,0.09999999999725154
