time_s,C_H2_out_kmol_per_m3,C_CH4_out_kmol_per_m3,y_CH4_out,u_out_m_per_s,is_product_cut
2.493613094379463e-05,0.06948486620463007,0.11929522377911245,0.6319269356709492,0.048,False
0.024911194812850836,0.06948486620463033,0.11929522377910562,0.6319269356709349,0.048,False
0.049847325756645466,0.06948486620463033,0.11929522377910562,0.6319269356709349,0.048,False
0.0747834567004401,0.06948486620463033,0.11929522377910562,0.6319269356709349,0.048,False
0.09971958764423472,0.06948486620463033,0.11929522377910562,0.6319269356709349,0.048,False
0.12465571858802935,0.06948486620463033,0.11929522377910562,0.6319269356709349,0.048,False
0.149591849531824,0.06948486620463033,0.11929522377910562,0.6319269356709349,0.048,False
0.1745279804756186,0.06948486620463033,0.11929522377910562,0.6319269356709349,0.048,False
0.19946411141941323,0.06948486620463033,0.11929522377910562,0.6319269356709349,0.048,False
0.22440024236320788,0.06948486620463033,0.11929522377910562,0.6319269356709349,0.048,False
0.24933637330700253,0.06948486620463033,0.11929522377910562,0.6319269356709349,0.048,False
0.27427250425079713,0.06948486620463033,0.11929522377910562,0.6319269356709349,0.048,False
0.29920863519459173,0.06948486620463076,0.11929522377910562,0.6319269356709335,0.048,False
0.3241447661383864,0.0694848662046372,0.11929522377910562,0.631926935670912,0.048,False
0.349080897082181,0.06948486620464364,0.11929522377910562,0.6319269356708904,0.048,False
0.37401702802597564,0.06948486620465007,0.11929522377910562,0.6319269356708689,0.048,False
0.39895315896977024,0.0694848662046565,0.11929522377910569,0.6319269356708475,0.048,False
0.4238892899135649,0.06948486620466296,0.11929522377910577,0.631926935670826,0.048,False
0.4488254208573595,0.0694848662046694,0.11929522377910583,0.6319269356708046,0.048,False
0.4737615518011542,0.06948486620467584,0.11929522377910592,0.6319269356707832,0.048,False
0.4986976827449488,0.06948486620468226,0.119295223779106,0.6319269356707619,0.048,False
0.5236338136887434,0.0694848662046887,0.11929522377910606,0.6319269356707404,0.048,False
0.548569944632538,0.06948486620469514,0.11929522377910615,0.631926935670719,0.048,False
0.5735060755763327,0.06948486620470158,0.11929522377910623,0.6319269356706977,0.048,False
0.5984422065201274,0.06948486620470802,0.11929522377910631,0.6319269356706761,0.048,False
0.6233783374639219,0.06948486620471447,0.11929522377910638,0.6319269356706548,0.048,False
0.6483144684077166,0.0694848662047209,0.11929522377910647,0.6319269356706334,0.048,False
0.6732505993515112,0.06948486620472734,0.11929522377910654,0.631926935670612,0.048,False
0.6981867302953058,0.06948486620473379,0.11929522377910663,0.6319269356705906,0.048,False
0.7231228612391004,0.06948486620474023,0.11929522377910669,0.6319269356705691,0.048,False
0.7480589921828952,0.06948486620474667,0.11929522377910677,0.6319269356705478,0.048,False
0.7729951231266896,0.06948486620475312,0.11929522377910685,0.6319269356705263,0.048,False
0.7979312540704844,0.06948486620475955,0.11929522377910694,0.6319269356705051,0.048,False
0.822867385014279,0.06948486620476599,0.11929522377910699,0.6319269356704835,0.048,False
0.8478035159580735,0.06948486620477244,0.11929522377910709,0.6319269356704622,0.048,False
0.8727396469018682,0.06948486620477887,0.11929522377910717,0.6319269356704408,0.048,False
0.8976757778456629,0.06948486620478532,0.11929522377910723,0.6319269356704192,0.048,False
0.9226119087894576,0.06948486620479177,0.11929522377910733,0.6319269356703978,0.048,False
0.9475480397332521,0.06948486620479821,0.1192952237791074,0.6319269356703764,0.048,False
0.9724841706770467,0.06948486620480465,0.11929522377910748,0.6319269356703551,0.048,False
0.9974203016208415,0.06948486620481109,0.11929522377910755,0.6319269356703335,0.048,False
1.022356432564636,0.06948486620481753,0.11929522377910763,0.6319269356703123,0.048,False
1.0472925635084307,0.06948486620482398,0.1192952237791077,0.6319269356702907,0.048,False
1.0722286944522255,0.06948486620483042,0.1192952237791078,0.6319269356702694,0.048,False
1.09716482539602,0.06948486620483686,0.11929522377910785,0.6319269356702479,0.048,False
1.1221009563398143,0.0694848662048433,0.11929522377910794,0.6319269356702266,0.048,False
1.147037087283609,0.06948486620484975,0.11929522377910803,0.6319269356702052,0.048,False
1.1719732182274039,0.06948486620485618,0.1192952237791081,0.6319269356701838,0.048,False
1.1969093491711984,0.06948486620486263,0.11929522377910817,0.6319269356701623,0.048,False
1.2218454801149932,0.06948486620486909,0.11929522377910824,0.6319269356701408,0.048,False
1.2467816110587877,0.06948486620487551,0.11929522377910834,0.6319269356701195,0.048,False
1.2717177420025823,0.06948486620488196,0.1192952237791084,0.631926935670098,0.048,False
1.2966538729463768,0.06948486620488842,0.11929522377910849,0.6319269356700766,0.048,False
1.3215900038901716,0.06948486620489486,0.11929522377910856,0.6319269356700552,0.048,False
1.3465261348339663,0.0694848662049013,0.11929522377910864,0.6319269356700338,0.048,False
1.3714622657777609,0.06948486620490775,0.1192952237791087,0.6319269356700122,0.048,False
1.3963983967215556,0.06948486620491418,0.1192952237791088,0.631926935669991,0.048,False
1.42133452766535,0.06948486620492064,0.11929522377910888,0.6319269356699696,0.048,False
1.4462706586091445,0.06948486620492708,0.11929522377910895,0.6319269356699481,0.048,False
1.4712067895529395,0.06948486620493352,0.11929522377910903,0.6319269356699267,0.048,False
1.496142920496734,0.06948486620493996,0.1192952237791091,0.6319269356699053,0.048,False
1.5210790514405286,0.06948486620494641,0.11929522377910919,0.6319269356698839,0.048,False
1.5460151823843233,0.06948486620495285,0.11929522377910926,0.6319269356698625,0.048,False
