case,purge_fraction,adsorption_velocity_m_per_s,desorption_velocity_m_per_s,adsorption_breakthrough_threshold,desorption_residual_loading_threshold,adsorption_end_time_s,desorption_end_time_s,cycle_time_s,feed_methane_mole_fraction_h2_ch4,desorption_product_methane_mole_fraction,methane_enrichment_factor,methane_desorption_recovery_percent,hydrogen_contamination_in_desorption_product_kmol,desorption_product_h2_kmol,desorption_product_ch4_kmol
base,0.1,0.15,0.045000000000000005,0.05,0.01,91.64847065260464,357.3808235430504,449.02929419565504,0.6258991136376639,0.3903064831071055,0.6235932830111912,95.32717912469506,0.4090156447123473,0.4090156447123473,0.2618388639541759
low_purge_005,0.05,0.15,0.022500000000000003,0.05,0.01,91.64847065260464,714.6036022206682,806.2520728732728,0.6258991136376639,0.39036491552554237,0.6236866405781916,95.32845738993527,0.40892070998829416,0.40892070998829416,0.26184237501493945
low_purge_002,0.02,0.15,0.009000000000000001,0.05,0.01,91.64847065260464,1786.244904263382,1877.8933749159867,0.6258991136376639,0.3904039519700916,0.623749009167152,95.32929986552178,0.40885725375591675,0.40885725375591675,0.2618446890753418
early_desorption_stop,0.05,0.15,0.022500000000000003,0.05,0.03,91.64847065260464,601.9475585102587,693.5960291628633,0.6258991136376639,0.42083991960148504,0.672376602605498,90.29445460862482,0.34131874189547795,0.34131874189547795,0.24801528413169494
strict_adsorption,0.05,0.15,0.022500000000000003,0.02,0.03,88.36546289003215,580.5607609569239,668.9262238469561,0.6258991136376639,0.4204435140355904,0.6717432648083077,90.1725538523157,0.32918283708665164,0.32918283708665164,0.23880810954019135
slower_adsorption,0.05,0.1,0.015000000000000003,0.02,0.03,162.82000280202888,1069.2148964316636,1232.0348992336926,0.6258991136376639,0.4205092094839484,0.6718482265296564,90.16527105735356,0.6063316257271525,0.6063316257271525,0.43998634109885765
