time_s,position_m,C_H2,C_CH4,q_H2,q_CH4,u
0.0,0.007646998799279872,0.015324814673726917,0.02144196766067705,9.97031760809997e-06,0.0003301797571400919,0.0
0.0,0.015293997598559744,0.015327296159196934,0.01994997582653954,1.0006733784002751e-05,0.0003082844933283004,0.0
0.0,0.022940996397839614,0.015329714368816366,0.018496029975368124,1.0042467463404369e-05,0.00028679960365070843,0.0
0.0,0.030587995197119487,0.015332064375754836,0.01708309241131319,1.0077428528274853e-05,0.00026577927275077553,0.0
0.0,0.03823499399639936,0.015334341128729643,0.01571420025592835,1.0111523225593879e-05,0.0002452798706429725,0.0
0.0,0.04588199279567923,0.015336539504917698,0.014392433630297146,1.0144655027282968e-05,0.00022535943562077877,0.0
0.0,0.05352899159495911,0.015338654376058818,0.013120875907772153,1.0176725742696542e-05,0.0002060770053100055,0.0
0.0,0.061175990394238974,0.015340680688530554,0.011902565565862347,1.0207636902354211e-05,0.00018749178463514253,0.0
0.0,0.06882298919351884,0.015342613557604063,0.010740439510556431,1.0237291421110598e-05,0.00016966214577309108,0.0
0.0,0.07646998799279872,0.01534444837530134,0.009637268225356248,1.0265595534103415e-05,0.00015264446410453116,0.0
0.0,0.08411698679207859,0.015346180930234389,0.008595583715196432,1.0292460979408744e-05,0.00013649180584062514,0.0
0.0,0.09176398559135845,0.015347807536576465,0.007617601960542026,1.0317807377759078e-05,0.00012125249718052042,0.0
0.0,0.09941098439063834,0.015349325167919656,0.006705142435179107,1.034156473302529e-05,0.00010696862088075697,0.0
0.0,0.10705798318991822,0.015350731590324448,0.005859548110960335,1.0363675949427256e-05,9.367450279318505e-05,0.0
0.0,0.11470498198919808,0.015352025487521063,0.005081610183102121,1.0384099235551977e-05,8.139526649172604e-05,0.0
0.0,0.12235198078847795,0.015353206570169616,0.00437150238352808,1.0402810244959664e-05,7.014554631151733e-05,0.0
